aX,aY,aZ,gX,gY,gZ
0.116089,0.015747,-1.053101,14.892577,50.170895,21.057127
0.112183,0.045044,-1.058228,8.789063,48.461910,19.958496
0.109253,0.103149,-1.040283,12.207030,46.569820,19.226074
0.091553,0.151367,-1.038208,16.723633,45.715328,13.916015
0.073853,0.113525,-1.016724,20.080564,44.738766,3.356933
0.064575,0.119629,-1.083374,10.253905,51.147457,-0.427246
0.046753,0.103394,-1.202271,4.943848,41.625973,-7.080078
0.046509,0.000732,-1.075439,5.004883,34.667969,-7.812500
0.052856,0.098511,-0.951050,-1.525879,33.142090,-0.793457
0.041382,0.146484,-0.933105,-11.169433,42.907711,-9.033203
0.000244,0.030762,-0.980469,-15.747069,53.222652,-19.836426
-0.010010,0.002197,-1.123779,-19.042969,56.457516,-16.967773
-0.012207,0.078979,-1.188721,-35.156250,48.461910,-13.916015
-0.008667,0.076050,-1.119385,-6.958007,29.785154,-23.376463
-0.038818,0.158081,-0.929565,4.638672,26.733397,-26.733397
-0.095703,0.037964,-0.934937,13.671874,41.076656,-44.555660
-0.108887,-0.050415,-1.041504,6.652832,57.312008,-46.264645
-0.109009,-0.051636,-1.255249,-13.793944,50.292965,-34.484863
-0.087280,0.019653,-1.299072,-18.981934,40.771481,-31.249998
-0.085205,0.057739,-1.133667,-11.962890,19.958496,-30.883787
-0.097900,0.054443,-0.994873,3.173828,15.075683,-35.400391
-0.140015,0.078003,-0.874512,6.958007,23.132322,-39.550781
-0.160278,0.029663,-1.041016,6.408691,45.532223,-52.246090
-0.150879,-0.006714,-1.176025,3.906250,54.077145,-53.710934
-0.148804,-0.061523,-1.369385,2.014160,34.729004,-47.546383
-0.162109,-0.074341,-1.213135,2.746582,18.676758,-43.395992
-0.186523,-0.025879,-0.960693,2.319336,5.737304,-40.039062
-0.193481,-0.052124,-0.913818,-4.272461,19.042969,-44.128414
-0.170410,-0.057129,-0.940796,-8.300781,36.193848,-34.179687
-0.152710,0.132568,-1.131836,-9.826660,41.137691,-29.968260
-0.183960,0.130615,-1.227905,-4.577637,29.174803,-46.997066
-0.203369,0.011230,-1.170410,7.385253,4.028320,-71.044922
-0.219849,-0.179810,-0.975708,7.690429,-0.854492,-69.580078
-0.205322,-0.109375,-0.932251,-0.183105,9.765625,-47.485348
0.181152,-0.499878,-0.537231,-0.610352,-9.582520,64.147949
0.191040,-0.440063,-0.688477,13.854980,-12.084960,52.429195
0.197144,-0.502197,-0.713501,20.202635,-16.784668,45.837399
0.202637,-0.568970,-0.635742,33.081055,-23.376463,42.053219
0.208496,-0.572998,-0.583008,36.743164,-20.263670,51.940914
0.217529,-0.547363,-0.523926,34.729004,-15.075683,57.861324
0.233765,-0.472656,-0.554687,30.212400,-1.647949,66.528320
0.243652,-0.437134,-0.782593,26.428221,12.023925,66.101074
0.244263,-0.478149,-0.833740,40.832516,-2.746582,63.110348
0.271484,-0.418701,-0.721924,45.898434,-13.122558,67.871094
0.285645,-0.269775,-0.612061,55.053707,-19.714355,73.181152
0.284058,-0.259521,-0.511719,56.213375,-16.967773,65.185547
0.288452,-0.286987,-0.378052,40.527340,12.512206,61.096188
0.313232,-0.307861,-0.704834,31.433104,28.625486,62.622066
0.339966,-0.203613,-0.944458,22.583006,28.686522,67.687988
0.345947,-0.162720,-0.911987,33.813477,4.882812,59.753414
0.348022,-0.202759,-0.715088,43.273922,-2.258301,52.612301
0.343506,-0.314697,-0.562256,55.725094,-0.610352,45.410152
0.338135,-0.234253,-0.503418,41.076656,18.859863,57.006832
0.337524,-0.164917,-0.599976,24.719236,46.874996,60.119625
0.339966,-0.115112,-0.913208,28.137205,51.574703,56.762691
0.337158,-0.083862,-0.972778,42.907711,35.827637,51.330563
0.327271,-0.078491,-0.908813,51.025387,19.165039,43.762203
0.296631,-0.165527,-0.748047,51.696774,17.395020,39.123535
0.293335,-0.149902,-0.661133,41.931149,26.550291,38.085937
0.292114,-0.128052,-0.670654,23.986814,45.166012,38.452148
0.279419,-0.147827,-0.815308,12.634276,59.936520,47.668453
0.258911,-0.051025,-1.005493,12.878417,57.983395,52.429195
0.260498,0.004272,-0.917969,25.512693,39.184570,48.461910
0.257568,-0.009644,-0.829102,36.376953,32.836914,40.710445
0.237427,-0.016113,-0.722656,36.682129,36.804199,39.367676
0.216553,0.002319,-0.769897,26.367186,53.283688,37.658691
0.209717,0.000977,-0.887817,13.427733,69.335937,34.729004
0.210693,-0.012573,-1.080933,11.413573,61.279293,33.264160
0.201416,-0.011108,-1.034790,13.793944,52.551266,33.386230
0.178101,0.022949,-0.900513,18.310547,44.128414,32.409668
0.170776,0.025391,-0.907837,19.287109,52.673336,27.648924
0.156860,0.010742,-1.026001,17.211914,55.847164,26.123045
0.136719,-0.017456,-1.088257,11.901855,53.222652,23.864744
0.126343,-0.012817,-1.101318,9.643555,46.813961,26.916502
0.110718,0.053101,-1.085938,22.033689,36.376953,28.564451
0.117676,0.104004,-0.936401,28.320311,32.714844,27.221678
0.119751,0.132568,-0.876221,24.719236,40.527340,22.338865
0.102905,0.138306,-0.919678,13.854980,54.870602,13.793944
0.077515,0.074829,-1.030273,9.094238,58.654781,10.437011
0.068726,0.039795,-1.125854,0.610352,59.387203,8.422852
0.064941,0.059570,-1.171387,-1.281738,51.513668,10.864257
0.055298,0.104248,-1.217773,3.173828,43.945309,10.986327
0.034302,0.133789,-1.007690,18.005371,25.939939,8.300781
0.028809,0.154907,-0.917969,14.709472,34.667969,6.042480
0.017822,0.203979,-1.014160,7.019042,45.410152,3.845215
-0.008423,0.174561,-1.141968,-5.432128,50.964352,-6.286621
-0.024902,0.146851,-1.153076,-13.671874,44.250484,-12.512206
-0.033691,0.140015,-1.173706,-20.874022,36.987305,-13.305663
-0.057739,0.170288,-1.074585,-23.498533,29.296873,-16.601562
-0.062500,0.114624,-0.898804,9.277344,27.038572,-26.672361
-0.070679,0.132324,-0.911499,22.644041,45.288082,-26.550291
-0.081909,0.146484,-1.026001,19.653320,51.818844,-31.066893
-0.093750,0.137451,-1.099854,12.512206,51.452633,-33.874512
-0.105713,0.095581,-1.208984,-2.258301,48.522945,-37.414551
-0.107788,0.108765,-1.216797,-13.427733,34.362793,-33.691406
-0.118896,0.129395,-1.067993,-8.972168,24.841307,-35.705566
-0.143433,0.118042,-0.917358,0.183105,26.733397,-37.536621
-0.171021,0.124512,-0.891846,19.836426,37.719727,-44.006344
-0.178589,0.135864,-0.942871,16.723633,56.396481,-48.828121
-0.178955,0.161621,-1.216064,2.807617,63.232418,-54.138180
-0.179810,0.067383,-1.412231,-1.220703,52.185055,-58.105465
-0.190552,-0.037231,-1.183838,-1.037598,14.099120,-58.898922
-0.198364,-0.032715,-0.999023,5.920410,0.488281,-46.752926
-0.216431,0.045532,-0.815552,6.347656,9.460449,-41.748043
-0.219849,0.138672,-0.974243,-3.479004,35.949707,-39.001465
-0.220459,0.152588,-1.084839,-9.155273,42.114254,-49.194332
-0.213257,0.016602,-1.221924,-7.934570,30.700682,-57.312008
-0.218872,-0.019531,-1.145264,-6.652832,13.427733,-48.767086
-0.232666,-0.002808,-1.024536,-6.286621,-1.708984,-41.198727
-0.240601,0.037598,-0.749634,-7.873535,0.854492,-39.123535
-0.245850,0.103638,-0.865479,-16.357422,30.822752,-36.926270
-0.240112,0.059448,-1.201294,-27.770994,46.874996,-46.264645
-0.234619,0.012573,-1.311768,-33.264160,24.902342,-52.307125
-0.235107,-0.055420,-1.287354,-31.433104,6.408691,-51.025387
-0.246338,-0.073730,-0.967041,-26.855467,-24.047850,-41.870113
-0.259155,-0.015259,-0.697998,-37.963867,-20.019531,-33.569336
-0.257813,-0.001953,-0.739868,-50.903316,15.441894,-34.912109
-0.253296,0.021240,-1.070923,-60.302731,27.893064,-36.682129
-0.262939,-0.036255,-1.365356,-67.932129,23.437498,-44.616695
-0.265991,-0.133667,-1.238770,-53.771969,-16.784668,-50.231930
-0.260986,-0.149658,-1.023438,-53.283688,-44.189449,-48.461910
-0.253662,-0.158569,-0.761108,-55.175777,-38.391113,-47.363277
-0.248535,-0.160767,-0.844116,-60.485836,-12.207030,-44.921871
-0.254395,-0.142212,-1.005493,-78.491211,3.356933,-43.273922
-0.257202,-0.114502,-1.099243,-108.276360,5.310058,-43.579098
-0.284424,-0.163574,-1.273682,-95.886223,-14.770507,-54.382320
-0.301636,-0.211182,-1.109497,-92.590324,-31.860350,-58.471676
-0.300415,-0.331543,-0.850342,-89.660637,-46.936031,-68.237305
-0.286865,-0.412476,-0.874634,-66.345215,-28.442381,-58.654781
-0.284424,-0.365845,-0.966064,-61.035152,-12.756347,-47.729488
-0.277100,-0.335449,-1.117065,-64.697266,-14.587401,-50.292965
-0.286499,-0.479370,-1.177979,-59.631344,-28.808592,-52.429195
-0.298340,-0.484009,-1.111572,-53.344723,-45.043941,-35.827637
-0.295776,-0.446167,-1.014282,-52.490231,-55.114742,-26.672361
-0.279541,-0.455933,-0.852539,-52.062984,-52.429195,-27.282713
-0.273193,-0.486084,-0.906738,-53.161617,-38.146973,-24.047850
-0.269531,-0.447632,-0.979492,-61.401363,-33.874512,-16.601562
-0.266357,-0.450195,-1.013550,-63.476559,-35.705566,-16.113281
-0.256348,-0.489746,-1.090332,-61.645504,-38.940430,-15.624999
-0.234619,-0.530151,-1.057861,-46.691891,-52.307125,-11.840819
-0.201294,-0.528198,-0.869385,-32.348633,-65.063477,-5.004883
-0.189331,-0.527100,-0.796143,-28.442381,-61.157223,-0.366211
-0.162964,-0.551514,-0.769653,-31.616209,-54.809566,2.075195
-0.143188,-0.478271,-0.885864,-41.931149,-42.907711,11.230468
-0.135986,-0.436157,-0.928833,-39.733887,-45.288082,11.718749
-0.115356,-0.477905,-0.932983,-32.836914,-52.612301,6.164550
-0.094360,-0.565430,-0.880981,-31.860350,-55.358883,7.873535
-0.079224,-0.558594,-0.725830,-26.123045,-59.997555,17.517090
-0.065674,-0.534424,-0.648926,-27.832029,-49.438473,25.756834
-0.031616,-0.474731,-0.699341,-36.682129,-28.747557,30.456541
-0.018677,-0.422974,-0.869995,-37.597656,-25.390623,29.602049
-0.017578,-0.483521,-0.934814,-33.447266,-31.677244,22.094725
-0.015259,-0.526489,-0.941528,-27.832029,-41.992184,20.996092
-0.004761,-0.572510,-0.943237,-23.681639,-47.180172,23.254393
0.001465,-0.576660,-0.815430,-15.319823,-60.058590,28.503416
0.026123,-0.567749,-0.597534,-18.798828,-59.204098,34.912109
0.050293,-0.521606,-0.589478,-28.015135,-33.142090,45.043941
0.090576,-0.429565,-0.797974,-29.846189,-22.644041,44.860836
0.108398,-0.527710,-0.895508,-28.198240,-25.695799,33.264160
0.119629,-0.660278,-0.915405,-19.836426,-37.353516,30.273436
0.124268,-0.656738,-0.887329,-9.948730,-53.039547,40.527340
0.128174,-0.612061,-0.669678,-5.981445,-59.020992,43.945309
0.110962,0.026855,-1.282471,9.094238,43.701168,15.502929
0.103271,0.133057,-1.053101,20.019531,23.315428,18.432617
0.076782,0.152710,-0.823120,22.521971,37.231445,5.798339
0.058960,0.023926,-0.907837,17.761230,49.560543,2.197266
0.052368,0.016235,-1.093872,2.441406,61.218258,7.446289
0.045654,0.065308,-1.126221,-5.432128,51.208492,12.939452
0.024536,0.131470,-1.069092,0.244141,40.405270,6.896972
-0.008301,0.137939,-0.970581,3.417969,38.513184,3.540039
-0.035767,0.132446,-0.981445,2.868652,45.898434,-1.220703
-0.046387,0.111694,-1.046143,-18.310547,52.978512,-6.164550
-0.057739,0.064331,-1.096924,-23.254393,51.147457,-10.986327
-0.068115,0.099487,-1.165649,2.685547,50.292965,-7.873535
-0.078857,0.213745,-1.199219,14.099120,42.053219,-3.234863
-0.098633,0.264282,-1.155151,29.052732,30.029295,-20.385740
-0.119019,0.138794,-1.041626,27.038572,28.381346,-25.329588
-0.125000,0.076782,-1.066040,12.634276,34.057617,-24.719236
-0.117554,0.068481,-1.092285,4.333496,33.630371,-19.653320
-0.111450,0.117188,-1.080200,-1.037598,31.921385,-16.601562
-0.116577,0.214722,-1.108398,-9.033203,32.836914,-14.099120
-0.124512,0.241577,-1.124634,-2.380371,28.747557,-20.874022
-0.135376,0.307739,-1.069458,3.723144,23.254393,-28.991697
-0.148193,0.306885,-1.057617,6.713867,25.329588,-37.597656
-0.154053,0.078735,-1.093994,21.118162,29.052732,-55.114742
-0.149536,0.020020,-1.083862,19.531250,28.503416,-40.710445
-0.151978,0.168579,-1.063354,7.812500,29.418943,-26.000975
-0.156128,0.314575,-1.064087,5.615234,29.846189,-29.296873
-0.149292,0.286865,-1.134155,2.990722,29.052732,-49.499508
-0.150513,0.200562,-1.133789,7.629394,15.747069,-69.152832
-0.162720,0.076904,-0.990845,3.784179,12.145995,-64.880371
-0.193481,0.134399,-0.971558,-0.244141,18.615723,-60.180660
-0.202148,0.067749,-1.117188,-7.385253,31.616209,-59.753414
-0.195312,0.016724,-1.192505,-17.089844,29.907225,-51.391598
-0.176636,0.084595,-1.223877,-20.751951,22.827147,-43.762203
-0.177368,0.135864,-1.132690,-19.836426,7.141113,-42.358395
-0.192871,0.106201,-0.996704,-19.042969,-1.098633,-48.400875
-0.199341,0.101807,-0.951904,-26.367186,4.821777,-54.077145
-0.197876,0.041992,-1.060303,-30.029295,15.441894,-58.776852
-0.187134,-0.007568,-1.266479,-32.775879,12.329101,-57.189938
-0.171143,-0.025391,-1.206177,-35.156250,-12.268065,-47.241207
-0.171509,-0.003052,-1.040405,-43.823238,-34.790039,-31.372068
-0.170166,0.123047,-0.720093,-51.635738,-33.203125,-27.465818
-0.176392,0.079956,-0.775513,-62.805172,-5.737304,-40.710445
-0.171509,-0.096436,-0.952759,-65.917969,11.352538,-57.006832
-0.170776,-0.108032,-1.025146,-70.983887,7.690429,-53.039547
-0.176758,-0.051514,-1.092163,-70.678711,0.976562,-50.537106
-0.197632,-0.080688,-1.010742,-65.063477,-14.770507,-54.626461
-0.203979,-0.159912,-0.920898,-59.326168,-18.066406,-57.678219
-0.205444,-0.145142,-0.924927,-73.364258,-11.108397,-56.640621
-0.221802,-0.155151,-0.962646,-82.153313,-10.009766,-60.852047
-0.218872,-0.205444,-1.016724,-104.248039,-8.239746,-67.749023
-0.235107,-0.368530,-1.273560,-94.848625,-2.136230,-75.378418
-0.245239,-0.427612,-1.327271,-77.636719,-26.550291,-65.307617
