aX,aY,aZ,gX,gY,gZ
-0.086548,-0.045776,-0.881836,7.934570,-11.047362,37.292480
-0.081909,0.075317,-0.924561,0.183105,-1.342773,40.100098
-0.080933,0.091675,-0.953369,2.258301,-0.732422,30.944822
-0.075806,0.105103,-0.955811,10.803222,-2.075195,22.827147
-0.076782,0.071411,-0.987793,13.977050,-1.342773,19.409180
-0.081665,0.058105,-0.937866,14.709472,-1.831055,17.028809
-0.080322,0.072021,-0.928345,12.145995,5.798339,17.944336
-0.075562,0.099487,-0.984619,10.986327,9.704590,17.333984
-0.074829,0.120117,-1.015991,11.657714,9.826660,13.427733
-0.074097,0.143188,-0.994141,11.169433,3.479004,6.713867
-0.080200,0.134766,-0.965454,9.826660,2.380371,2.014160
-0.091187,0.133911,-0.966431,5.493164,4.821777,-3.845215
-0.095215,0.139771,-1.000610,4.028320,8.972168,-9.155273
-0.094360,0.092407,-1.000610,5.371093,11.901855,-13.061522
-0.095825,0.080933,-1.010742,4.516602,13.000487,-11.718749
-0.101440,0.149048,-0.984375,1.220703,11.047362,-12.145995
-0.105591,0.155396,-0.966187,-0.305176,11.169433,-19.165039
-0.107300,0.135010,-0.994019,-3.479004,10.864257,-28.442381
-0.120728,0.070923,-1.000000,-4.272461,8.300781,-31.677244
-0.128052,0.031616,-0.913574,-0.305176,8.728027,-31.311033
-0.124390,0.034668,-0.935913,8.666992,19.531250,-25.451658
-0.124146,0.047729,-0.998291,9.399414,18.127441,-22.827147
-0.132080,0.139893,-0.962524,3.417969,15.502929,-23.986814
-0.159668,0.091431,-0.935669,-20.263670,11.047362,-41.015621
-0.171021,0.045044,-0.958496,-21.179197,15.930175,-48.522945
-0.179443,-0.014038,-1.043213,-17.333984,14.892577,-46.997066
-0.180420,-0.019287,-0.993408,-17.578125,10.314940,-44.189449
-0.185913,0.016968,-0.923706,-20.324705,8.544922,-40.588375
-0.195557,0.031616,-0.957031,-23.437498,14.465331,-44.006344
-0.209473,0.035522,-0.983643,-23.620604,15.869140,-51.452633
-0.222534,-0.031006,-1.050781,-24.230955,16.723633,-55.786129
-0.234009,-0.177734,-1.098022,-24.536131,13.000487,-58.959957
-0.232666,-0.219482,-1.072266,-20.996092,4.882812,-48.522945
-0.229858,-0.168213,-0.968262,-20.751951,1.647949,-41.442867
-0.231567,-0.102905,-0.907715,-21.545408,2.197266,-34.362793
-0.181152,-0.137451,-1.056152,-18.005371,10.620116,-42.724606
-0.187988,-0.127197,-0.969971,-18.554687,3.173828,-35.583496
-0.208252,-0.073730,-0.861816,-18.554687,5.615234,-34.667969
-0.202759,-0.052246,-0.911133,-15.808105,19.653320,-34.912109
-0.213745,-0.039551,-1.017090,-19.409180,23.437498,-40.222164
-0.221436,-0.082764,-1.068115,-24.536131,16.235352,-48.217770
-0.226074,-0.232788,-1.105225,-20.141600,9.948730,-46.630856
-0.231567,-0.146362,-0.916626,-12.145995,-4.272461,-32.287598
-0.235229,-0.088257,-0.858765,-17.761230,1.647949,-30.273436
-0.242920,-0.049683,-0.892090,-20.874022,12.756347,-37.658691
-0.249268,-0.086426,-0.965820,-20.324705,14.953612,-42.114254
-0.250977,-0.221069,-1.048096,-19.592285,14.709472,-47.607418
-0.249268,-0.333374,-1.061768,-11.657714,6.347656,-41.015621
-0.247803,-0.337769,-0.978882,-6.713867,-4.943848,-24.780272
-0.243652,-0.229980,-0.828125,-11.169433,2.197266,-13.488769
-0.248291,-0.176392,-0.863281,-12.756347,9.338379,-13.366698
-0.246338,-0.214600,-0.970947,-12.573241,14.587401,-18.554687
-0.244995,-0.277954,-0.990723,-13.305663,7.141113,-22.521971
-0.244507,-0.419556,-0.992798,-11.230468,-1.647949,-11.352538
